,Eff,Iin,Iout,Ploss,Vin,Vout
0,0.1300645515933168,0.18319724999999998,0.15886224999999998,1.9137442141184249,12.0082,1.8010887
1,0.4889398785179865,0.31195075,1.0169804999999998,1.9144559581985505,12.008461,1.8010104
2,0.6531809738023588,0.46256025,2.01409575,1.9264328436907494,12.008331,1.801376
3,0.7349176604403685,0.615062,3.0133315,1.95779944127775,12.00794,1.8012715
4,0.7821576224239499,0.7692922499999999,4.0108714999999995,2.0124095795661496,12.008331,1.8014804
5,0.8127591968503198,0.924599,5.0097815,2.07891419709175,12.008331,1.8012715
6,0.833095785876733,1.0815372499999998,6.00777775,2.167637704698473,12.0082,1.8009451
7,0.8441801360875367,1.24424875,7.0066225,2.3281844582134994,12.008461,1.8002009
8,0.8550274078429441,1.40327425,8.005728,2.442930494218352,12.008331,1.7997178
9,0.8612560587780046,1.5664749999999998,9.00401875,2.609849163014374,12.0082,1.7992739
10,0.8649375635334772,1.7321885,10.00123275,2.8093922581866764,12.008331,1.7989083
11,0.867334288746643,1.89995625,11.000599249999999,3.0268084710008267,12.008331,1.7988561
12,0.8710876816726043,2.0627657499999996,11.998596,3.193206325474044,12.008331,1.7983077
13,0.8730293957908033,2.22968575,12.998485,3.399576019773999,12.0082,1.7982816
14,0.8758822115519954,2.39308275,13.9960255,3.5667252599725536,12.0082,1.7983599
15,0.8778493083218534,2.5582735,14.995099,3.7525009883181966,12.0082,1.7984382
16,0.8792271558257218,2.7245412499999997,15.993682750000001,3.9513053648775447,12.0082,1.7985558
17,0.8789753270483436,2.89563625,16.992071,4.208194797845703,12.0082,1.7986733
18,0.8794824495839164,3.06438275,17.991111749999998,4.434771188408675,12.0082,1.7988299
19,0.8797115169084114,3.2340757499999997,18.99060875,4.671404202123497,12.00807,1.7989736
20,0.8796268411030882,3.4045185,19.987790500000003,4.921058944471895,12.00807,1.7991302
21,0.8791951147050503,3.57659275,20.986276500000002,5.188381495916651,12.0082,1.7992739
22,0.8787811436594258,3.74980825,21.984631,5.458296899971401,12.0082,1.7999006
23,0.8778566163291047,3.9245570000000005,22.98370425,5.756172481149683,12.00807,1.7999789
24,0.8766987541480659,4.1008717500000005,23.98320175,6.071791685996558,12.00807,1.8000834
25,0.8753707510711564,4.27770825,24.981133,6.401972281765744,12.008331,1.800005
26,0.873729977456577,4.456894,25.9789525,6.757806841137999,12.00807,1.7999528
27,0.87218571370195,4.6359485,26.97841,7.115421840583494,12.008331,1.799757
28,0.8705436933521526,4.815883749999999,27.9759075,7.486470543737482,12.0082,1.799535
29,0.8687356066231904,4.9970595,28.974707499999997,7.876525210614247,12.00807,1.7991041
30,0.8668647080848708,5.178593,29.971225,8.279095407800007,12.0082,1.798608
